Code,Section,Subsection,Control Point,Compliance Criteria,Criticality
FV-GFS 27.02,FV 27 GENETICALLY MODIFIED ORGANISMS,-,Growing of genetically modified crops and/or trials is subject to the prevailing regulations in the country of production.,The producer shall have a copy of the prevailing regulations in the country of production and comply accordingly. Records shall be kept of the specific modification and/or the unique identifier. Specific husbandry and management advice shall be obtained.,Major Must
FV-GFS 27.01,FV 27 GENETICALLY MODIFIED ORGANISMS,-,A procedure for use and handling of genetically modified (GM) materials is available.,An implemented documented procedure that explains how GM materials (crops and trials) are grown and handled shall be available.,Minor Must
FV-GFS 28.03.03,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.03 Substrates,Substrates of natural origins do not come from designated conservation areas.,"There shall be records that attest to the source of the substrate of natural origin being used. These records shall demonstrate that the substrate does not come from designated conservation areas.
Opportunities to decrease the use of peat shall be considered.",Minor Must
FV-GFS 28.03.02,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.03 Substrates,Records are kept of any chemicals used to sterilize substrates for reuse.,"If substrates are sterilized on the farm, the name or reference of the field, orchard, or greenhouse shall be recorded.
If substrates are sterilized off-farm, the name and location of the company that sterilizes the substrate shall be recorded.
In all cases, the following shall all be correctly recorded:
- Dates of sterilization (day/month/year)
- Name and active ingredient used
- Machinery used (e.g., 1000l tank)
- Method used (drenching, fogging, etc.)
- Operator’s name (person who actually applied the chemicals and performed the sterilization)
- Preplanting interval
Where applicable and feasible, steaming or nonchemical alternatives shall be used for sterilizing substrates that will be reused.",Minor Must
FV-GFS 28.03.01,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.03 Substrates,The producer participates in substrate recycling.,"The producer should keep records documenting dates and quantities of recycled substrate. Invoices/Loading dockets are acceptable. If there is no participation in an available recycling program, it should be justified. Participation in an off-farm recycling program is acceptable.",Recom.
FV-GFS 07.02,"FV 07 PARALLEL OWNERSHIP, TRACEABILITY, AND SEGREGATION ",-,The GLOBALG.A.P. Number (GGN) is indicated on all final products originating from certified production processes when registered for parallel ownership.,"Where the producer is registered for parallel ownership (i.e., where products originating from certified and noncertified production processes are owned in parallel by one legal entity), all products originating from certified production processes packed in final consumer packaging (either on the farm or after product handling) shall be identified with a GGN. It can be the GGN of the Option 2 producer group, the GGN of the producer group member, both GGNs, or the GGN of the Option 1 individual producer. The GGN shall not be used to label products originating from noncertified production processes.",Major Must
FV-GFS 28.02.01,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.02 Soil fumigation,There is documented justification for the use of soil fumigants.,"There shall be documented evidence and justification for the use of soil fumigants, including targeted problem, location, date, active ingredient, doses, method of application, and operator. Methyl bromide shall never be used as a soil fumigant.",Minor Must
FV-GFS 28.02.02,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.02 Soil fumigation,The preplanting interval is complied with.,The preplanting interval shall be recorded.,Minor Must
FV-GFS 29.04.02,FV 29 FERTILIZERS AND BIOSTIMULANTS,FV 29.04 Nutrient content,"Purchased inorganic fertilizers are accompanied by documented evidence of chemical content, including heavy metals.","Documented evidence detailing chemical content, including heavy metals, should be available for all inorganic fertilizers used on registered crops within the last 12 months.",Recom.
FV-GFS 31.08,FV 31 INTEGRATED PEST MANAGEMENT,-,The producer uses the results of integrated pest management (IPM) to learn and to improve the IPM plan.,"There shall be evidence that the producer evaluates the IPM plan on a yearly basis and introduces improvements if these were identified as necessary.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Minor Must
FV-GFS 08.01,FV 08 MASS BALANCE,-,Sales records are available for all quantities sold for all registered products.,"Sales details of the quantities of products originating from certified and, where applicable, noncertified production processes shall be recorded for all registered products, with particular attention paid to quantities sold and descriptions provided. The documents shall demonstrate the consistent balance between the input and the output of products originating from certified and noncertified production processes.",Major Must
FV-GFS 07.04,"FV 07 PARALLEL OWNERSHIP, TRACEABILITY, AND SEGREGATION ",-,Products that are purchased from different sources are identified.,"Procedures (appropriate for the scale of the operation) shall be established, documented, and maintained for identifying quantities of products originating from certified and, where applicable, noncertified production processes purchased from different sources (i.e., other producers or traders) for all registered products.
Records shall include:
- Product description
- GLOBALG.A.P. certification status
- Quantities of product(s) purchased
- Supplier details
- Copy of the GLOBALG.A.P. certificates, where applicable
- Traceability data/codes related to the purchased products
- Purchase orders and/or invoices received
- List of approved suppliers",Major Must
FV-GFS 09.01,FV 09 RECALL AND WITHDRAWAL,-,"Documented procedures are in place to manage the recall and withdrawal of products from the marketplace, and such procedures are tested annually.","The producer shall have a documented procedure that identifies:
- The types of events that may result in a recall and withdrawal
- The persons responsible for making decisions on the possible recall and withdrawal
- The mechanism for notifying the next step in the supply chain
- The notification of relevant authorities when required
- Steps taken to contact the certification body (CB), which in turn may contact the GLOBALG.A.P. Secretariat
- The methods for reconciling stock

The procedure shall be tested annually for effectiveness and the results of the mock recall shall be recorded (e.g., selecting a lot and demonstrating that it can be effectively traced forward to the customer).
Actual communications of the mock recall to the clients are not necessary. An up-to-date list of telephone numbers and email addresses is sufficient.
If an actual recall and withdrawal occurred during the past year, documentation of these may be provided for compliance.",Major Must
FV-GFS 08.02,FV 08 MASS BALANCE,-,"Quantities (produced, stored, and/or purchased) are recorded and summarized for all products.","Quantities (including information on volumes or weight) of incoming (including purchased products), outgoing (including reject, waste, pulp, etc.), and stored products (both from certified and, where applicable, from noncertified production processes) shall be recorded and a summary maintained for all registered products, so as to facilitate the mass balance verification process, while accounting for industry acceptable gains and losses.
The frequency of the mass balance verification shall be defined and be appropriate to the scale of the operation, but it shall be done at least annually for each product. Documents to demonstrate mass balance shall be clearly identified. If the certification body (CB) audit is done during the harvest season, mass balance data from last year’s harvest may be reviewed. This shall be prepared prior to the CB audit.
“N/A” is possible where a bulk product (e.g., potatoes sold to a buyer in bulk directly from the field) is handed from harvest directly to the buyer and/or where a product is harvested directly into containers from the field and shipped to customers. Justification of why mass balance is not applicable shall be given.",Major Must
FV-GFS 16.01,FV 16 FOOD FRAUD,-,A system is in place to address risks associated with food fraud.,"The system shall include:
- A risk assessment to identify potential threats to the safety of the product, taking into account risks from fraudulent or adulterated materials
- A documented food fraud plan to specify the measures to control any risks identified in the risk assessment
- Consideration shall be given to potential impacts of intentional inaccurate information associated with a product for economical gain
- Where applicable, risks associated with counterfeit PPP, unauthorized propagation material, origin of packaging, use of approved suppliers, control over access to packaging shall be considered",Major Must
FV-GFS 15.01,FV 15 FOOD DEFENSE,-,A food defense system is in place to address risks associated with malicious attack or contamination.,"The system shall include:
- A risk assessment to identify potential threats to the safety of products, taking into account risks from deliberate attempts to inflict contamination or damage
- A documented food defense plan to specify the measures to control any risks identified in the risk assessment
- Consideration of identification of tampering to the premises and products, monitoring of external storage and intake points, controlled access where relevant, receiving inputs from safe sources, and having available information for all employees and subcontractors
- Worker, visitor, and subcontractor awareness of the need to support food defense measures, ensured through training, signs, pictograms, etc.",Major Must
FV-GFS 05.02,"FV 05 SPECIFICATIONS, SUPPLIERS, AND STOCK MANAGEMENT",-,An inventory is in place to manage stock on site.,"A stock inventory shall ensure that materials and products do not pose a risk to food safety and that those with limited shelf lives are used in the correct order. The inventories shall consider purchased materials (plant protection products (PPPs), ammonium fertilizer, etc.) and apply to both pre- and postharvest activities (e.g., chlorine tablets). Items considered to be stock may include cleaning agents, fertilizers, and PPPs.

Monthly updates are not required, but a calculation of inventory shall occur within a month of any use or purchase. In months when there is no stock movement, there is no need to update the inventory. Where products are distributed by a central function, the records may be held by the quality management system (QMS).",Major Must
FV-GFS 05.01,"FV 05 SPECIFICATIONS, SUPPLIERS, AND STOCK MANAGEMENT",-,Specifications and procedures for materials and services that are relevant to food safety are available.,"A procedure shall be implemented and maintained for the control of suppliers of inputs and services that may introduce a food safety risk. The procedure shall include:
- Evaluation, approval, and continued monitoring of suppliers
- Procurement in emergency situations to ensure materials and services still conform to specifications
- Availability of records of evaluations, investigations, and follow-up actions

Specifications supporting the implementation of the standard and customer compliance shall be available.
Specifications shall be reviewed annually or when changes occur, whichever is sooner.
These changes may include the following, where relevant:
- Supplier specifications for packaging (where applicable)
- Allowable and acceptable licenses or qualifications for service providers (pest control contractors, laboratory services, etc.)
- Descriptions of customer requirements
- Defined specifications for raw materials

Descriptions of how alternate suppliers will be evaluated in the event of emergency or supply chain disruptions shall also be available.",Major Must
FV-GFS 14.01,FV 14 FOOD SAFETY POLICY DECLARATION,-,The producer has completed and signed the food safety policy declaration.,"The producer’s food safety policy declaration shall:
- Support the existence of a food safety culture, consisting of communication, training, feedback from workers, and measurable food safety objectives
- Be annually completed and signed by the producer/manager responsible for food safety
- Indicate people whose activities impact food safety
- Serve as documented evidence of commitment to continuous improvement, food safety culture, provision of resources, and adherence to relevant prevailing regulations
- Serve as documented evidence of review by management of all elements of the food safety system, on an annual basis or whenever changes occur that impact food safety
- Substantiate the self-assessment checklist (for Option 1 individual producers)
- Be completed either by central management or on quality management system (QMS) level on behalf of Option 2 producer group members and Option 1 multisite producers with QMS",Major Must
FV-GFS 12.01,FV 12 LABORATORY TESTING,-,Laboratory testing occurs in a manner consistent with industry requirements and prevailing regulations.,"There shall be documented evidence that laboratories used to analyze parameters impacting food safety are operating in accordance with the requirements of ISO/IEC 17025.

Analysis shall include water quality, plant protection product residues, environmental monitoring samples, and microbial, chemical, and physical contamination, as well as all other applicable tests. The laboratories shall show evidence of participation in proficiency tests or applicable certifications (e.g., the proficiency testing program provider FAPAS®).",Major Must
FV-GFS 02.01,FV 02 CONTINUOUS IMPROVEMENT PLAN,-,A continuous improvement plan is documented.,"The producer shall evaluate the farming operation and identify improvements to be undertaken as assessed by the standard. These improvements shall be included in a longer-term plan covering up to three years.
The continuous improvement plan shall consist of relevant self-defined targets and describe how progress toward each target will be monitored. The plan may include:
- Description of improvement objective
- Current status, with date of initial target establishment
- Planned activity
- Target outcome with estimated date of achievement",Major Must
FV-GFS 01.04,FV 01 INTERNAL DOCUMENTATION,-,Effective corrective actions are taken to address non-conformances detected during the self-assessments/internal audits.,Corrective actions shall be documented. Any necessary changes shall be implemented. Compliance with all applicable Major Musts and at least 95% of applicable Minor Musts is required.,Major Must
FV-GFS 01.03,FV 01 INTERNAL DOCUMENTATION,-,The producer completes a minimum of one self-assessment/internal audit annually to the standard.,"The self-assessment/internal audit shall evaluate compliance, review implementation, and support identification of improvement opportunities. A program of site inspections ensures the site and equipment are maintained, in support of food safety. The frequency of inspections is based on assessed risk and type of activities.

A documented self-assessment for individual producers or an internal farm and quality management system (QMS) audit for multisite producers with QMS and producer groups shall:
- Occur at least once a year and before the certification body (CB) audit
- Be completed by the producer, assigned worker, or consultant, and/or as part of a QMS
- Include all applicable topics covered by the standard/scope, even those addressed using subcontractors (including harvest and postharvest activities)
- Assess all applicable sites and products
Self-assessments shall contain comments regarding the evidence observed for all not applicable and non-compliant Major Must and Minor Must principles and criteria. For internal farm audits, comments shall follow “GLOBALG.A.P. general regulations – Rules for producer groups and multisite producers with QMS.”
",Major Must
FV-GFS 01.02,FV 01 INTERNAL DOCUMENTATION,-,"Records for auditing purposes are up-to-date. Records are kept for a minimum period of two years, unless a longer period is required.","All records generated or kept by the producer for auditing purposes shall:
- Be stored securely, readily accessible and kept up to date
- Be retained for a minimum of two years, or longer if required by customers or prevailing regulations
- Be valid and backed-up, if used in electronic format
- Cover at least three months prior to the date of the initial certification body (CB) audit, or begin on the day of registration, whichever is longer
- Reference full details of each area and all activities covered by the registration
Where an individual record is missing, the respective principle addressing those records is not compliant. For example, if the date of application is missing on a single spray record, a non-conformance or non-compliance shall be issued against that principle.",Major Must
FV-GFS 01.01,FV 01 INTERNAL DOCUMENTATION,-,A procedure is in place to manage and control documents and records.,"Documents and records affecting implementation of the requirements shall be managed and controlled.

A documented procedure shall describe:
- How documents and records are created, reviewed, approved, and updated
- How reviews are undertaken and changes or amendments are made
- How version updates take place
- How relevant documentation is made available to relevant staff

Documentation shall be:
- Identified with an issue number and/or date and appropriately paginated
- Sufficiently detailed
- Reviewed periodically to demonstrate ongoing compliance with the relevant requirements
- Assigned to relevant staff
- Revised to incorporate relevant modifications of the standard or normative documents within the period given by GLOBALG.A.P.
- Approved by authorized staff prior to distribution
- Effectively rescinded when obsolete",Major Must
FV-GFS 11.01,FV 11 NON-CONFORMING PRODUCTS,-,Procedures are in place to manage and handle non-conforming products.,"Documented procedures, including a hold-and-release process, shall be in place to prevent unintended use or delivery of non-conforming products.

Products may be considered non-conforming because of food safety issues, quality issues, maximum residue limit exceedance(s), cross contamination issues, etc.

Non-conforming products shall be identified during production and handling. Non-conforming products shall be segregated, appropriately handled, and potentially redirected to a suitable end use (processing, animal feed, etc.). If not redirected, the products shall be disposed of appropriately.

The non-conforming product procedures shall also address the treatment of dropped product, as per the risk assessment.

Products that pose a risk to food safety shall not be harvested or shall be discarded. Discarded products and waste materials shall be stored in clearly designated areas to avoid contamination of products. Signs shall be used to identify waste products, where appropriate. These areas shall be routinely cleaned and/or disinfected according to the cleaning schedule.

Where the root cause is related to significant food safety reasons, the procedure in place shall be implemented and maintained for the determination and implementation of corrective actions. Such actions shall aim to eliminate the cause of a non-conformity to prevent reoccurrence.",Major Must
FV-GFS 21.06,FV 21 SITE MANAGEMENT,-,"Where the operation handles or stores allergens, the operation has a documented allergen management program.","The allergen management program shall list the allergens in use, stored, or handled by workers at the site specific to prevailing regulations. Where applicable, procedures shall address identification and segregation of allergens during storage, handling, loading, and shipping as based on a risk assessment conducted by the operation. All products intentionally or potentially containing allergenic materials shall be labeled according to the allergen labeling regulations in the country of production and the country of destination.",Major Must
FV-GFS 19.01,FV 19 HYGIENE,-,The farm has a documented hygiene risk assessment.,"A documented hygiene risk assessment covering production, harvesting, and handling, as applicable, shall cover:
- Physical, chemical, and microbiological contaminants, spillage of bodily fluids (vomiting, bleeding, etc.), and human transmissible diseases that are associated with the applicable products and processes
- Workers, personal effects, equipment, clothing, packaging material, transport, vehicles, and product storage (including short-term storage on the farm)
- The production environment, including design and layout for prevention of cross contamination and support of food safety
- Measurement and monitoring of cleaning and hygiene activities",Major Must
FV-GFS 19.04,FV 19 HYGIENE,-,"Smoking, eating, chewing, and drinking are confined to designated areas.","In order to prevent contamination of products, smoking, eating, chewing, and drinking shall be confined to designated areas and not be permitted in product handling or storage areas, unless indicated otherwise by the hygiene risk assessment. Drinking water is the exception.",Major Must
FV-GFS 19.02,FV 19 HYGIENE,-,Documented hygiene procedures are in place to minimize food safety risks.,"Hygiene procedures shall be aligned with the risk assessment and include applicable harvest and postharvest activities. Pictograms or signs in the predominant workforce language shall describe the appropriate hygiene measures for workers, visitors, and subcontractors.
When protective equipment and clothing (smocks, aprons, sleeves, gloves, footwear, etc.) are required, they shall be provided by the employer and cleaned, maintained, and stored in a way that minimizes food safety risks.
Hands shall be washed whenever they may be a source of contamination, including prior to the start of work and after using the toilet.
The hygiene procedures shall address contamination of product with bodily fluids, reporting requirements for sick people (vomiting, jaundice, diarrhea, etc.), restricting ill persons’ contact with products, and a return-to-work policy. Skin cuts shall be covered and gloves used, as appropriate.
Visual evidence shall show that no violations of the hygiene procedures occur.",Major Must
FV-GFS 19.03,FV 19 HYGIENE,-,All persons working on the farm have received hygiene training.,"Basic training on hygiene shall:
- Be provided annually to all workers, including owners and managers that are working on the farm
- Be provided to all new workers
- Cover all necessary instructions
- Be given in a format, either written or verbal, that ensures understanding (may be in verbal and pictorial form without written explanatory content, where appropriate)
- Specifically include training on hygiene procedures for harvesting and product handling activities, where applicable",Major Must
FV-GFS 19.06,FV 19 HYGIENE,-,"Handwashing facilities are available for all workers, visitors, and subcontractors who come into direct contact with products.","Handwashing facilities shall be accessible and maintained in a clean and sanitary condition to allow workers to clean their hands any time their hands may be a source of contamination.

The facilities shall be situated as near as possible to the toilets without posing a risk of cross contamination.

All handwashing facilities shall be equipped with nonperfumed hand soap and means of drying hands. Single use towels shall be used where possible. Towels shall not pose a cross contamination risk. Air towels and forced-air hand dryers are permitted.

The water used for handwashing shall be analyzed, and risks associated with water quality assessed. The water used shall meet the microbial standard for drinking water at all times. If handwashing water does not meet the microbial drinking water standard, a sanitizer (e.g., alcohol-based gel) shall be used after washing hands. The use of only hand sanitizer to clean hands before coming into contact with products is not permitted.",Major Must
FV-GFS 19.05,FV 19 HYGIENE,-,"Clean toilets are provided for workers, visitors, and subcontractors in the vicinity of their work.","Toilets provided for production and handling activities (including stationary or mobile toilets) shall be:
- Designed and located so as to minimize the potential risk for product contamination
- Constructed of material that is easy to clean and maintain (also applies to pit latrines)
- Allow for direct accessibility for servicing
- Located in reasonable proximity to the place of work, i.e., accessible on foot or by a readily available mode of transportation
If production and/or handling takes place in a facility, the doors of toilets shall not open directly onto the production and/or product handling area, unless the door is self-closing. Toilets shall be appropriately cleaned, maintained, and stocked. Facilities shall also be available to visitors, where applicable.",Major Must
FV-GFS 19.07,FV 19 HYGIENE,-,Animal activity that may result in product contamination is managed.,"Appropriate measures shall be taken to reduce possible product contamination by animals within the production area. Where there is evidence of animal activity that may result in product contamination, appropriate measures shall be taken. Eliminating wildlife or using destructive techniques to rid the production area of all animals are not considered appropriate measures.",Major Must
FV-GFS 32.07.01,FV 32 PLANT PROTECTION PRODUCTS,FV 32.07 Residue analysis,Information regarding maximum residue levels (MRLs) is available for the destination markets in which products will be traded.,The producer or the producer’s customer shall have a list of currently applicable MRLs for all markets in which products are intended to be traded (domestic and/or international). The MRLs shall be identified by either demonstrating communication with clients confirming the intended markets or by selecting the specific country or countries in which products are intended to be traded.,Major Must
FV-GFS 32.07.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.07 Residue analysis,The correct maximum residue level (MRL) sampling and testing procedures are followed.,Documented evidence shall be available demonstrating compliance with applicable sampling procedures.,Major Must
FV-GFS 32.07.02,FV 32 PLANT PROTECTION PRODUCTS,FV 32.07 Residue analysis,A risk assessment for all registered products has been completed and the maximum residue level (MRL) requirements of the applicable market(s) are met.,"The risk assessment shall cover all registered crops and the potential risk of MRL exceedance based on plant protection product (PPP) usage.

Residues of agricultural chemicals shall not exceed levels established by applicable and prevailing legislation (in both countries of production and intended sale), or by the Codex Alimentarius Commission.

Risk assessment may conclude that analyses are not required when all of the following conditions are met:

- No use of PPPs during the production season or during postharvest handling
- Evidence of residue testing by the customer (processor or other)
- A risk assessment validated by an independent third party (e.g., certification body (CB) auditor) or the customer

Where the risk assessment concludes an analysis is required, the number, type, location, and frequency of sampling shall be recorded.
Complying with MRL thresholds in the country of production is required, regardless of whether the product is exported to other countries. If MRLs of the market of intended export are stricter than those of the country of production, documentation exists that these MRLs have been addressed. Documentation shall support export decisions based upon PPP use and MRL analysis results to maintain compliance with country-of-destination regulations.

Where brokers are responsible for all shipments and the country-of-destination is outside of the producer’s control, compliance with the MRLs in the country of production shall be verified.

The producer may delegate the risk assessment and sampling to a third party managed PPP residue monitoring system (RMS) that is assessed by a GLOBALG.A.P. approved CB.",Major Must
FV-GFS 32.07.04,FV 32 PLANT PROTECTION PRODUCTS,FV 32.07 Residue analysis,A documented action plan is available that describes the steps to be taken if an unauthorized plant protection product (PPP) is detected in the maximum residue level (MRL) sampling.,"A documented action plan shall be available that describes the steps to be taken in the event that the MRL analysis detects the presence of a PPP that is not authorized for use on the product (not registered in the country of production, not labeled for use on the product, etc.).
The plan shall detail the steps taken to investigate the cause, to ensure all food safety risks are mitigated, and to arrange for disposal of the product, if needed.",Major Must
FV-GFS 30.01.01,FV 30 WATER MANAGEMENT,FV 30.01 Water use risk assessments and management plan,There is a risk assessment to assess food safety risks for pre- and postharvest water used.,"There shall be a documented risk assessment for water used for indoor and outdoor production and postharvest activities. The assessment shall cover, at minimum:
- Identification of water sources by means of maps, photographs, drawings (hand drawings are acceptable), or other depictions to identify the location of water source(s), permanent fixtures, and the flow of the water system (including holding systems, reservoirs, or any water captured for reuse), the depiction shall be linked with site maps and an on-farm reference system
- Historical analysis results, where applicable
- The timing of water use (crop growth stage or postharvest)
- The risk of physical, chemical, and microbial contamination
- Methods to address risk associated with water delivery mechanisms, mitigating the risk of cross contamination
- The contact of water with the crop
- The characteristics of the crop and the growth stage or handling
- The quality of the water used for fertilizer, plant protection product, or postharvest applications
- Measures taken to mitigate contamination risk, where appropriate (e.g., preventing human and livestock intrusion with fencing)
- Acceptable thresholds for water quality
- Impact on food safety and fit-for-purpose
- Control of water not intended for use in food production (stored water for grounds maintenance, etc.)
- A minimum requirement of one analysis per season or certification cycle for water used in postharvest activities that comes in contact with the product, the sample to be taken as near the point of application as possible (minimum of one analysis required even when using municipal water sources).
The risk assessment shall be reviewed annually and whenever risks change due to operational changes.",Major Must
FV-GFS 32.07.05,FV 32 PLANT PROTECTION PRODUCTS,FV 32.07 Residue analysis,A documented action plan is available that describes the steps to be taken if a maximum residue level (MRL) is exceeded.,"A documented action plan shall be available that describes the steps and actions to be taken in the event that a plant protection product residue analysis indicates a MRL has been exceeded (MRL of both country of production and countries of destination, if different). The action plan shall include communication to customers and may be part of the recall and withdrawal procedure.",Major Must
FV-GFS 30.01.03,FV 30 WATER MANAGEMENT,FV 30.01 Water use risk assessments and management plan,A water management plan is available.,"A documented water management plan shall:
- Be reviewed at least annually, based on the reviewed risk assessments
- Assess the need for maintenance of irrigation and other water delivery equipment
- Identify worker training required to support maintenance and repairs
- Be either an individual or a regional plan if participation in a community irrigation system is documented
- Include reference to water analysis
- Include corrective actions taken related to water quality",Major Must
FV-GFS 30.01.02,FV 30 WATER MANAGEMENT,FV 30.01 Water use risk assessments and management plan,A risk assessment has been undertaken to evaluate environmental issues for water management on the farm (pre- and postharvest).,"There shall be a documented risk assessment for water used for indoor and outdoor production and postharvest activities. At minimum, the assessment shall identify environmental impacts on and of:
- Water sources
- Distribution systems
- Irrigation methods
- Significant water uses for other activities on the farm
- Impact of own farming activities on off-farm environments

The risk assessment shall be reviewed annually or whenever changes to risks occur.",Major Must
FV-GFS 30.04.02,FV 30 WATER MANAGEMENT,FV 30.04 Water storage,Storage of water does not pose any food safety risks.,"If tanks, cisterns, or other containers are used to store water, risks to stored water or products shall be identified. If water storage containers are open to the air, the possibility of contamination shall be addressed. The container shall not be a source of contamination for the water, and the quality of the water held within it shall be appropriate for the intended use.",Major Must
FV-GFS 30.06.01,FV 30 WATER MANAGEMENT,FV 30.06 Irrigation predictions and record keeping,Tools are routinely used to calculate and optimize crop irrigation.,"The producer shall be able to demonstrate that crop irrigation requirements are calculated based on data (local agricultural institute data, farm rain gauges, drainage trays for substrate growing, evaporation meters, water tension meters for the percentage of soil moisture content, etc.). 
Where on-farm tools are in place, these shall be maintained to ensure that they are effective and in a good state of repair.
“N/A” only for rain-fed crops.",Minor Must
FV-GFS 30.05.02,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,Corrective actions are taken based on results from the risk assessment and results of the water analysis.,"There shall be available documentation of corrective actions as identified and required by the water risk assessment and current sector-specific standards or relevant regulations. Action shall be taken based upon the level of the risk.

Possible strategies to reduce the risk of product contamination arising from water use include, but are not limited to:
- Treating water before use
- Preventing water coming into contact with the harvestable portion of the crop
- Reducing the vulnerability of the water supply
- Allowing sufficient time between application and harvest to ensure decline in pathogen concentrations

Producers implementing these strategies shall verify that the risk of product contamination is addressed.",Major Must
FV-GFS 30.05.01,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,"Water is analyzed for food safety, in accordance with the risk assessment.","Water shall be analyzed for food safety at a frequency consistent with the risk assessment and current sector-specific standards or relevant regulations. Water analysis shall be part of the water management plan and completed at least once per year, or more frequently if required by the risk assessment (e.g., in controlled environment agriculture (CEA) production).

A minimum of one analysis per season or certification cycle shall be required on water that comes into contact with products during postharvest processing, with samples taken as near the point of application as possible. A minimum of one analysis shall be required even when using municipal water sources.

The water analysis shall reflect the nature and extent of the water system, the scope of production (type of product, applications, harvesting, handling, water sources, etc.). Where different water sources are used, they shall each be sampled.
Samples shall be taken from locations that are representative of the water source, usually as close to the point of application as possible.

Analysis shall be performed during the time of water use on products and during the period of highest risk.

There shall be a documented procedure for water analysis, including:
- Frequency of sampling
- Person responsible for sampling
- Method of sample collection
- Laboratory analyzing the samples
- Location sampled

Records of all analysis shall be maintained.",Major Must
FV-GFS 30.05.03,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,The use of treated sewage water does not pose a food safety risk.,"Treated sewage water shall only be used when the risks have been identified and effectively mitigated. The type of crop, growth aspect, and contact with edible portions of the crop shall be considered. Analysis of water shall occur at appropriate intervals to verify that the treatment is consistently effective.

Where treated sewage or reclaimed water is used, water quality shall comply with prevailing regulations or the World Health Organization (WHO-) published “Guidelines for the safe use of wastewater, excreta and greywater” (2006) where no prevailing regulations exist.

Guidelines for minimum verification monitoring of microbial performance targets for wastewater treatment have been referenced in Table 4.5 (Volume 2, 2006) and Table 2.9 (Volume 1, 2006) of the WHO “Guidelines for the safe use of wastewater, excreta and greywater.” Water quality shall be assessed by measuring the quantity of indicator organisms. Escherichia coli (E. coli) is recommended for this purpose, but other prevailing regulations and industry standards may reference total fecal coliforms. When more restrictive prevailing regulations do not exist, the verification level established by the WHO of ≤ 1000 E. coli per 100ml treated wastewater shall be adopted for monitoring purposes. Many prevailing regulations require recreational, reclaimed, and irrigation water to be held to a more restrictive quality requirement, so target water quality thresholds shall be addressed in risk assessments and supporting documentation.

If water has the potential to be polluted (e.g., upstream contamination source), the producer shall demonstrate through analysis that the water complies with prevailing regulations and requirements, or with the WHO guideline requirements where no prevailing regulations exist.

Untreated sewage water shall never be used on crops.

“N/A” if treated sewage water is not used.",Major Must
FV-GFS 30.05.04,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,Water that comes into contact with products during harvest and postharvest meets the microbial standard for drinking water.,"Water (including ice) used during harvest and postharvest activities (cooling, transport, washing, etc.) shall meet the microbial standards for drinking water and shall be handled so as to prevent product contamination.
The only exception are flood-harvested cranberry fields, where analysis shall confirm that the water is not a source of microbial contamination for the product.",Major Must
FV-GFS 30.05.06,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,Treated water used during harvest or postharvest is monitored appropriately.,"Treated water (antimicrobial water additives, ozone, etc.) used during harvest and postharvest activities (e.g., cooling) shall adhere to a documented monitoring system for the treatment process and routine verification of acceptable parameters. Monitoring shall be executed at a frequency established according to a risk assessment. The values measured during monitoring shall be compared to the established allowable parameters. Corrective actions shall be taken for analysis results outside of the allowable thresholds.",Major Must
FV-GFS 30.05.05,FV 30 WATER MANAGEMENT,FV 30.05 Water quality,"Recirculated water used during production, harvest, and postharvest is changed or replenished at an appropriate frequency.","If water used during production, harvest, and postharvest activities is recirculated, an appropriate frequency for changing the water shall have been established based on applicable parameters (pH, efficacy of antimicrobial water additives, turbidity, visual evaluation, etc.).
“N/A” if recirculated water is not used.",Major Must
FV-GFS 30.03.01,FV 30 WATER MANAGEMENT,FV 30.03 Efficient water use on farm,"Where feasible, measures have been implemented to collect water and, where appropriate, to recycle.","Water collection and/or recycling shall be implemented where economically and practically feasible (from building roofs, greenhouses, etc.).
Water collection or recycling does not refer only to rainwater. Collection from watercourses is not encouraged.",Minor Must
FV-GFS 33.04.01,FV 33 POSTHARVEST HANDLING,FV 33.04 Pest control,A pest management plan is in place and implemented.,"A pest management plan for monitoring and control of pests in the packing and storage areas shall be in place.
There shall be visual evidence that the pest monitoring and correcting processes are effective.",Major Must
FV-GFS 33.06.01,FV 33 POSTHARVEST HANDLING,FV 33.06 Environmental monitoring program,A risk-based microbial environmental monitoring program is in place for product handling areas.,"Where postharvest activities are included in an operation, there shall be a risk-based microbial environmental monitoring program in place for the product handling areas. The program shall allow for assessment of effectiveness of cleaning procedures in reducing food safety risks and identify sources of potential contamination (in water, on surfaces, etc.). The risk assessment shall determine the areas of possible contamination (e.g., high traffic or difficult-to-clean locations).


Controlled environment agriculture (CEA) with environmental monitoring programs shall show documentation for applicable production activities and not be limited to product handling.",Major Must
